state,crop,mean,std,cv
andhra pradesh,Cotton(lint),2.337012987012987,1.0825587758169108,0.46322326056072316
andhra pradesh,Groundnut,1.895483870967742,1.0745818839844246,0.5669169231367794
andhra pradesh,Maize,4.022179487179487,1.314534773523438,0.3268215100080584
andhra pradesh,Ragi,1.1765116279069767,0.41422489959182857,0.3520788828315602
andhra pradesh,Rice,3.161794871794872,0.6690325101117542,0.21159896110906184
karnataka,Cotton(lint),2.4377007299270073,1.1105914529253411,0.4555897445863241
karnataka,Groundnut,0.8860188087774294,0.36657965185557073,0.4137380022004213
karnataka,Maize,3.2373040752351097,1.1090132186755834,0.3425730771351904
karnataka,Ragi,1.4852611940298508,0.4931595062080452,0.33203554242873035
karnataka,Rice,2.738363636363636,0.767441405669301,0.28025547647441446
madhya pradesh,Cotton(lint),1.8493043478260869,1.938442278201721,1.048200789924286
madhya pradesh,Groundnut,1.5583333333333333,0.5844755451722846,0.37506452096617193
madhya pradesh,Maize,2.2632904411764705,0.8915546151969572,0.39391966624200575
madhya pradesh,Ragi,0.13882352941176473,0.2818218043582943,2.0300723195300856
madhya pradesh,Rice,1.841949806949807,0.9843496126639192,0.5344063171265028
maharashtra,Cotton(lint),1.9190592334494774,2.0970991002666683,1.0927745552163948
maharashtra,Groundnut,0.8525622775800712,0.4017868800751318,0.47126983053434085
maharashtra,Maize,2.058950617283951,1.07762041946672,0.523383324699771
maharashtra,Ragi,1.1068794326241134,0.3933993513535452,0.35541301044947704
maharashtra,Rice,1.5921276595744682,0.9388304289872411,0.5896703215608757
tamil nadu,Cotton(lint),2.025993788819876,1.0304478837295927,0.5086135453207978
tamil nadu,Groundnut,2.331723163841808,0.7567083347507021,0.32452751959796533
tamil nadu,Maize,7.036350148367952,2.1152082602368227,0.30061156929881255
tamil nadu,Ragi,2.9174285714285713,0.6954561742222696,0.23837984622249964
tamil nadu,Rice,3.782608695652174,1.4036628520317527,0.3710832827210381
